Date,Change Type,Campaign,Keyword,Match Type,From,To,Direction,P2 Installs
"Mar 18 – Apr 15, 2026",Keyword Added,BrandProtection,judge,exact,—,$0.20 bid (active),➕ New,188
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,export amazon reviews,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,shopify product review,broad,—,$3.50 bid (active),➕ New,5
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,social proof,broad,—,$3.00 bid (active),➕ New,3
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,google review,exact,—,$3.75 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,product reviews by shopify,exact,—,$3.50 bid (active),➕ New,3
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product rating,exact,—,$3.00 bid (active),➕ New,3
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,pos review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,video review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,product reviews by shopify,broad,—,$2.50 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product rating,broad,—,$4.50 bid (active),➕ New,45
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,star rating,exact,—,$3.50 bid (active),➕ New,15
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import etsy reviews,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,pos review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,export reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,video review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,photo review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,product review app,exact,—,$5.00 bid (active),➕ New,2
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,dropshipper review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,rating,exact,—,$4.00 bid (active),➕ New,31
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,store review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,export reviews,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews free,broad,—,$2.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,photo review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,dropshipper review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import amazon reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,review apps,exact,—,$3.50 bid (active),➕ New,10
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,store review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,buyer reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,feedback app,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import amazon reviews,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,customer review,exact,—,$3.72 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,review apps,broad,—,$2.50 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,dropshipping review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews with images,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,customer review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,ugc app,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,dropshipping review,broad,—,$1.67 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,amazon reviews,exact,—,$3.69 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,free review,exact,—,$2.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews in shopify,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,amazon reviews,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonial app,broad,—,$2.50 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,free review,broad,—,$2.45 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,best review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review app,exact,—,$4.01 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import etsy reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonials,exact,—,$3.00 bid (active),➕ New,41
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review app,broad,—,$4.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonials,broad,—,$3.00 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews for store,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Features,judge me q,exact,—,$1.00 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,BrandProtection,judge me,exact,—,$0.20 bid (active),➕ New,121
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews for store,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review import,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import ebay reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,shopify reviews,exact,—,$3.19 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,free product reviews,broad,—,$2.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews with images,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,adding product reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import ebay reviews,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,shopify reviews,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,adding product reviews,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews in shopify,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,image carousel,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product re,broad,—,$2.80 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonials app,exact,—,$3.00 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review plugin,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,import review,exact,—,$2.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,trust badges,broad,—,$2.50 bid (active),➕ New,122
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,app for reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review importer,exact,—,$3.79 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review plugin,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Features,testimonials carousel,exact,—,$1.00 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,app for reviews,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review importer,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews,broad,—,$4.05 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,review import,exact,—,$3.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product reviews,exact,—,$3.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,verified review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,shopify review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,feedback,broad,—,$2.50 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,verified review,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product review,exact,—,$3.96 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,get reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product review,broad,—,$2.11 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,get reviews,broad,—,$2.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,BrandProtection,judge.me product reviews,exact,—,$0.30 bid (active),➕ New,7
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,customer feedback,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,google review,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,product reviews app,exact,—,$4.00 bid (active),➕ New,2
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,customer feedback,broad,—,$5.00 bid (active),➕ New,72
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,ratings,exact,—,$5.00 bid (active),➕ New,48
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,star rating,broad,—,$2.50 bid (active),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,reviews importer,broad,—,$2.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonial,exact,—,$2.82 bid (active),➕ New,75
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,adding reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,ratings,broad,—,$2.50 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Features,loox photo carousel,exact,—,$1.00 bid (active),➕ New,0
