App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate,Campaign,_snap,_date,kw,mt
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,review importer,exact,active,4.5,646,90,0.139318,76,0.844444,4.17,4.938157,375.3,1.204334,0.955621,2.0,30.22,0.080522,187.65,0.026315,Features,Apr15,2026-04-15,review importer,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,aliexpress reviews,exact,active,4.0,513,16,0.031189,13,0.8125,4.0,4.923076,64.0,3.040935,0.907964,,,,,,Features,Apr15,2026-04-15,aliexpress reviews,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,review carousel,broad,paused,3.5,276,5,0.018115,1,0.2,3.5,17.5,17.5,2.583333,0.306666,,,,,,Features,Apr15,2026-04-15,review carousel,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,referrals,broad,active,4.0,254,4,0.015748,2,0.5,4.0,8.0,16.0,3.47244,0.072159,,,,,,Features,Apr15,2026-04-15,referrals,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,rich snippet,broad,paused,5.0,223,4,0.017937,1,0.25,5.0,20.0,20.0,1.766816,0.582245,,,,,,Features,Apr15,2026-04-15,rich snippet,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,q&a,broad,paused,6.0,197,5,0.02538,1,0.2,6.0,30.0,30.0,1.487309,0.562857,,,,,,Features,Apr15,2026-04-15,q&a,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,coupons,broad,active,2.0,131,1,0.007633,1,1.0,2.0,2.0,2.0,4.503816,0.056271,,,,,,Features,Apr15,2026-04-15,coupons,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,question,broad,paused,5.0,43,1,0.023255,0,0.0,5.0,0.0,5.0,1.767441,0.934782,,,,,,Features,Apr15,2026-04-15,question,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,ucg,broad,active,4.0,18,0,0.0,0,0.0,0.0,0.0,0.0,1.333333,0.545454,,,,,,Features,Apr15,2026-04-15,ucg,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,judge me q,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,judge me q,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,loox photo carousel,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,loox photo carousel,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,testimonials carousel,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,testimonials carousel,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,review syndication,exact,active,4.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,review syndication,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,ebay reviews importer,exact,active,4.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,ebay reviews importer,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,google shopping reviews,exact,active,4.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,google shopping reviews,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,review request email,exact,active,3.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,review request email,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,google reviews,exact,active,4.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,google reviews,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,etsy reviews importer,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,etsy reviews importer,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,amazon importer,broad,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,amazon importer,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,import etsy,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,import etsy,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,import amazon,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,import amazon,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,coupon,broad,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,coupon,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,referral,broad,active,4.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Features,Apr15,2026-04-15,referral,broad
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox,exact,active,3.0,7580,346,0.045646,234,0.6763,3.0,4.435897,1038.0,1.059102,0.949398,9.0,226.58,0.218285,115.333333,0.038461,Competitors,Apr15,2026-04-15,loox,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trustoo,exact,active,2.5,5807,149,0.025658,111,0.744966,2.5,3.355855,372.5,2.15068,0.958567,,,,,,Competitors,Apr15,2026-04-15,trustoo,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trustpilot,exact,active,2.5,3267,185,0.056626,100,0.54054,2.5,4.625,462.5,1.270278,0.945859,7.0,137.05,0.296324,66.071428,0.07,Competitors,Apr15,2026-04-15,trustpilot,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trustoo.io reviews,exact,active,3.0,2078,36,0.017324,27,0.75,3.0,4.0,108.0,2.303657,0.929753,,,,,,Competitors,Apr15,2026-04-15,trustoo.io reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trustoo reviews,exact,active,3.0,1193,34,0.028499,28,0.823529,2.794117,3.392857,95.0,1.70243,0.901738,1.0,15.22,0.16021,95.0,0.035714,Competitors,Apr15,2026-04-15,trustoo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,okendo,exact,active,5.0,1081,45,0.041628,22,0.488888,4.5,9.204545,202.5,1.185013,0.919217,2.0,45.0,0.222222,101.25,0.090909,Competitors,Apr15,2026-04-15,okendo,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox reviews,exact,active,4.5,968,48,0.049586,29,0.604166,4.1875,6.931034,201.0,1.101239,0.940719,1.0,15.0,0.074626,201.0,0.034482,Competitors,Apr15,2026-04-15,loox reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox review,exact,active,3.0,751,41,0.054593,30,0.731707,2.292682,3.133333,94.0,1.178428,0.95547,2.0,30.23,0.321595,47.0,0.066666,Competitors,Apr15,2026-04-15,loox review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox,broad,active,3.5,680,31,0.045588,23,0.741935,3.5,4.717391,108.5,1.407352,0.762331,3.0,75.0,0.691244,36.166666,0.130434,Competitors,Apr15,2026-04-15,loox,broad
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,yotpo reviews,exact,active,3.5,389,5,0.012853,3,0.6,3.2,5.333333,16.0,2.760925,0.587613,,,,,,Competitors,Apr15,2026-04-15,yotpo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,klaviyo reviews,exact,active,2.0,279,5,0.017921,4,0.8,2.0,2.5,10.0,2.946236,0.452922,,,,,,Competitors,Apr15,2026-04-15,klaviyo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,stamped.io,exact,active,3.0,247,7,0.02834,4,0.571428,3.0,5.25,21.0,2.307692,0.942748,,,,,,Competitors,Apr15,2026-04-15,stamped.io,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,rivo reviews,exact,active,3.0,196,9,0.045918,8,0.888888,2.666666,3.0,24.0,1.938775,0.903225,,,,,,Competitors,Apr15,2026-04-15,rivo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox - photo reviews,exact,active,3.0,71,3,0.042253,2,0.666666,2.333333,3.5,7.0,3.140845,0.449367,,,,,,Competitors,Apr15,2026-04-15,loox - photo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trustpilot,broad,active,2.0,66,2,0.030303,1,0.5,2.0,4.0,4.0,1.969696,0.507692,,,,,,Competitors,Apr15,2026-04-15,trustpilot,broad
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,tydal reviews,exact,active,2.0,14,0,0.0,0,0.0,0.0,0.0,0.0,2.785714,0.033492,,,,,,Competitors,Apr15,2026-04-15,tydal reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,stamped reviews,exact,active,3.0,6,0,0.0,0,0.0,0.0,0.0,0.0,3.166666,0.1875,,,,,,Competitors,Apr15,2026-04-15,stamped reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trustpilot reviews,exact,active,1.0,6,0,0.0,0,0.0,0.0,0.0,0.0,4.833333,0.031578,,,,,,Competitors,Apr15,2026-04-15,trustpilot reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,tydal review,exact,active,2.0,6,1,0.166666,1,1.0,2.0,2.0,2.0,2.5,0.230769,,,,,,Competitors,Apr15,2026-04-15,tydal review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,reviews io,exact,active,2.0,4,0,0.0,0,0.0,0.0,0.0,0.0,6.25,0.032258,,,,,,Competitors,Apr15,2026-04-15,reviews io,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox product reviews,exact,active,3.0,3,0,0.0,0,0.0,0.0,0.0,0.0,2.666666,0.029126,,,,,,Competitors,Apr15,2026-04-15,loox product reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,yotpo review,exact,active,2.0,2,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.033333,,,,,,Competitors,Apr15,2026-04-15,yotpo review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto reviews,exact,active,1.0,1,0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.05,,,,,,Competitors,Apr15,2026-04-15,trusto reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,vitals reviews,exact,active,2.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,vitals reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,growave reviews,exact,active,2.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,growave reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,fera reviews,exact,active,2.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,fera reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,rivo reviews & ugc,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,rivo reviews & ugc,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,rivo product reviews app & ugc,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,rivo product reviews app & ugc,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox photo reviews,exact,active,3.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,loox photo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox product reviews & photo,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,loox product reviews & photo,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox product reviews & photos,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,loox product reviews & photos,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,loox- product review app,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,loox- product review app,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,lukes reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,lukes reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,lux reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,lux reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,okendo review,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,okendo review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,okendo reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,okendo reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,okendo: reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,okendo: reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,reviews io.,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,reviews io.,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryvio reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryvio reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu - product reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu - product reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu aliexpress review importer,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu aliexpress review importer,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu- prouduct review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu- prouduct review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu: aliexpress reviews app,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu: aliexpress reviews app,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu: product reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu: product reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu: product reviews & qa,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu: product reviews & qa,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu: reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu: reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu: reviews & q,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu: reviews & q,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,ryviu: reviews & qa,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,ryviu: reviews & qa,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusstoo.oi reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusstoo.oi reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust pilot reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust pilot reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust reviews google,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust reviews google,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust shop product review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust shop product review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust shop review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust shop review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust shop reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust shop reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trust.ioo review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trust.ioo review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusted io reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusted io reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusted review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusted review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto io review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto io review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto product and ali reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto product and ali reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto product e ali reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto product e ali reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto product review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto product review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto productn reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto productn reviews,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto products review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto products review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto review,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto review,exact
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,trusto.io reviews,exact,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Competitors,Apr15,2026-04-15,trusto.io reviews,exact
